City_ID,City,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aksu,41.1231,80.2644,7.32,39,55,1.21,CN,1677816398
1,iqaluit,63.7506,-68.5145,-13.15,84,100,1.54,CA,1677816399
2,vagur,61.4732,-6.8119,6.94,81,100,6.15,FO,1677816400
3,orbetello,42.4408,11.2196,8.99,92,100,3.84,IT,1677816400
4,hithadhoo,-0.6,73.0833,27.08,76,96,2.43,MV,1677816401
5,hermanus,-34.4187,19.2345,19.51,81,0,4.2,ZA,1677816401
6,barentu,15.1139,37.5928,21.21,57,47,1.63,ER,1677816402
7,ponta do sol,32.6667,-17.1,18.17,88,89,0.65,PT,1677816403
8,port hardy,50.6996,-127.4199,1.1,100,75,2.57,CA,1677816403
9,jamestown,42.097,-79.2353,0.77,97,100,1.54,US,1677816404
10,port blair,11.6667,92.75,29.28,63,70,5.98,IN,1677816404
11,lata,40.1629,-8.3327,0.6,78,88,1.08,PT,1677816405
12,valle hermoso,25.6667,-97.8333,24.38,91,97,4.76,MX,1677816406
13,upernavik,72.7868,-56.1549,-26.16,87,77,7.55,GL,1677816406
14,avarua,-21.2078,-159.775,29.03,61,20,2.57,CK,1677816407
15,balikpapan,-1.2675,116.8289,26.55,83,40,0.51,ID,1677816330
16,punta arenas,-53.15,-70.9167,4.06,81,40,8.23,CL,1677816143
17,bahia blanca,-38.7196,-62.2724,20.72,65,22,0.45,AR,1677816408
18,atuona,-9.8,-139.0333,26.81,77,13,8.03,PF,1677816408
19,half moon bay,37.4636,-122.4286,9.88,79,75,4.12,US,1677816409
20,yellowknife,62.456,-114.3525,-15.8,77,100,4.47,CA,1677816410
21,tombouctou,20.0,-3.0,20.26,16,0,3.59,ML,1677816410
22,adrar,20.5022,-10.0711,17.44,26,0,4.54,MR,1677816411
23,andahuaylas,-13.6556,-73.3872,10.97,87,96,1.37,PE,1677816411
24,yining,29.0361,114.5636,13.35,59,100,0.94,CN,1677816412
25,sao filipe,14.8961,-24.4956,22.99,71,84,1.84,CV,1677816413
26,rikitea,-23.1203,-134.9692,26.69,73,96,3.31,PF,1677816413
27,mataura,-46.1927,168.8643,16.38,81,87,3.32,NZ,1677816414
28,kapaa,22.0752,-159.319,22.18,78,100,8.23,US,1677816414
